date,location,red_fighter,blue_fighter,winner,weight_class,title_fight,red_submission_attempts,blue_submission_attempts,red_Record,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,blue_Record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,red_sig_strike_attempted,red_sig_strike_landed,red_sig_strike_percent,blue_sig_strike_attempted,blue_sig_strike_landed,blue_sig_strike_percent,red_total_strikes_attempted,red_total_strikes_landed,red_total_strikes_percent,blue_total_strikes_attempted,blue_total_strikes_landed,blue_total_strikes_percent,red_takedowns_attempted,red_takedowns_landed,red_takedowns_percent,blue_takedowns_attempted,blue_takedowns_landed,blue_takedowns_percent,Height_diff,Reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_takedowns_defence_percent,blue_takedowns_defence_percent,red_sig_strike_average,blue_sig_strike_average,red_takedowns_average,blue_takedowns_average,red_sig_strike_defence_average,blue_sig_strike_defence_average,red_takedowns_defence_average,blue_takedowns_defence_average
2021-11-06,"New York City, New York, USA    ",Shane Burgos,Billy Quarantillo,W,Featherweight,N,0,0, 14-3-0,180.34,145 lbs.,190.5,Orthodox,1991-03-19, 16-4-0,177.8,145 lbs.,177.8,Orthodox,1988-12-08,288.0,193.0,0.6701388888888888,349.0,164.0,0.4699140401146132,329.0,232.0,0.7051671732522796,383.0,196.0,0.5117493472584856,0.0,0.0,0.0,14.0,0.0,0.0,2.539999999999992,12.699999999999989,31,33,0.5300859598853869,0.32986111111111116,1.0,1.0,0.5206421649210105,0.6484983557510341,0.2222222222222222,0.48571428571428565,0.5888534730777885,0.45828596683384254,0.846212754107491,0.7923076923076924
2021-11-06,"New York City, New York, USA    ",Justin Gaethje,Michael Chandler,W,Lightweight,N,0,0, 23-3-0,180.34,155 lbs.,177.8,Orthodox,1988-11-14, 22-7-0,172.72,155 lbs.,180.34,Orthodox,1986-04-24,183.0,116.0,0.6338797814207651,245.0,103.0,0.4204081632653061,205.0,133.0,0.6487804878048781,246.0,104.0,0.42276422764227645,0.0,0.0,0.0,6.0,1.0,0.16666666666666666,7.6200000000000045,-2.539999999999992,33,36,0.5795918367346939,0.36612021857923494,0.8333333333333334,1.0,0.5898859530542787,0.6268939393939394,0.0,0.0,0.5745309636830002,0.4144736842105263,0.8125,0.75
2021-11-06,"New York City, New York, USA    ",Al Iaquinta,Bobby Green,L,Lightweight,N,0,0, 14-7-1,177.8,155 lbs.,177.8,Orthodox,1987-04-30, 28-12-1,177.8,155 lbs.,180.34,Orthodox,1986-09-09,30.0,10.0,0.3333333333333333,40.0,28.0,0.7,30.0,10.0,0.3333333333333333,41.0,29.0,0.7073170731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.539999999999992,35,35,0.30000000000000004,0.6666666666666667,1.0,1.0,0.4355568092043323,0.5111980004138296,0.18452380952380953,0.3927083333333333,0.6182592462347356,0.6345623685194085,0.8720238095238095,0.7225694444444445
2021-11-06,"New York City, New York, USA    ",Edmen Shahbazyan,Nassourdine Imavov,L,Middleweight,N,0,4, 11-3-0,187.96,185 lbs.,187.96,Orthodox,1997-11-20, 11-3-0,190.5,185 lbs.,190.5,Orthodox,1995-03-01,35.0,22.0,0.6285714285714286,63.0,42.0,0.6666666666666666,43.0,29.0,0.6744186046511628,87.0,64.0,0.735632183908046,5.0,1.0,0.2,1.0,0.0,0.0,-2.539999999999992,-2.539999999999992,24,27,0.33333333333333337,0.37142857142857144,1.0,0.8,0.5074372754578704,0.5457783479960899,0.23015873015873015,0.375,0.6778547932606466,0.5527550051359574,0.7777777777777778,0.8095238095238096
2021-11-06,"New York City, New York, USA    ",Gian Villante,Chris Barnett,L,Heavyweight,N,0,0, 17-14-0,190.5,230 lbs.,193.04,Orthodox,1985-08-18, 22-7-0,175.26,265 lbs.,190.5,Orthodox,1986-06-14,51.0,30.0,0.5882352941176471,70.0,38.0,0.5428571428571428,51.0,30.0,0.5882352941176471,76.0,44.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,15.240000000000009,2.539999999999992,36,35,0.4571428571428572,0.4117647058823529,1.0,1.0,0.4553226378161651,0.38823529411764707,0.1323529411764706,0.0,0.5280588880738556,0.40594059405940597,0.9407308377896613,0.0
2021-11-06,"New York City, New York, USA    ",Dustin Jacoby,John Allan,W,Light Heavyweight,N,0,0, 16-5-1,190.5,205 lbs.,193.04,Orthodox,1988-04-04, 13-7-0 (1 NC),185.42000000000002,205 lbs.,190.5,Orthodox,1993-02-22,321.0,153.0,0.4766355140186916,189.0,77.0,0.4074074074074074,321.0,153.0,0.4766355140186916,190.0,78.0,0.4105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,5.079999999999984,2.539999999999992,34,29,0.5925925925925926,0.5233644859813085,1.0,1.0,0.4428709908822704,0.38344840116279066,0.05555555555555555,0.8333333333333333,0.5968265754029399,0.5486637415237335,0.587719298245614,0.7
2021-10-30,"Abu Dhabi, Abu Dhabi, United Arab Emirates    ",Jan Blachowicz,Glover Teixeira,L,Light Heavyweight,Y,0,2, 28-9-0,187.96,205 lbs.,198.12,Orthodox,1983-02-24, 33-7-0,187.96,205 lbs.,193.04,Orthodox,1979-10-28,45.0,28.0,0.6222222222222222,39.0,23.0,0.5897435897435898,73.0,53.0,0.726027397260274,93.0,71.0,0.7634408602150538,0.0,0.0,0.0,6.0,2.0,0.3333333333333333,0.0,5.0800000000000125,39,42,0.41025641025641024,0.37777777777777777,0.6666666666666667,1.0,0.5105020182399119,0.4929231964926991,0.37916666666666665,0.35384920634920636,0.5780524691260397,0.5384804731503122,0.74375,0.8399122807017545
2021-10-30,"Abu Dhabi, Abu Dhabi, United Arab Emirates    ",Petr Yan,Cory Sandhagen,W,Bantamweight,Y,1,0, 16-2-0,170.18,135 lbs.,170.18,Switch,1993-02-11, 14-4-0,180.34,135 lbs.,177.8,Switch,1992-04-20,270.0,149.0,0.5518518518518518,445.0,169.0,0.3797752808988764,280.0,158.0,0.5642857142857143,449.0,172.0,0.3830734966592428,2.0,0.0,0.0,6.0,1.0,0.16666666666666666,-10.159999999999997,-7.6200000000000045,29,30,0.6202247191011236,0.4481481481481482,0.8333333333333334,1.0,0.5335120686763599,0.46680932104302275,0.4979166666666667,0.2222222222222222,0.6335297807845995,0.552893921595725,0.9435399159663865,0.4142300194931774
2021-10-30,"Abu Dhabi, Abu Dhabi, United Arab Emirates    ",Islam Makhachev,Dan Hooker,W,Lightweight,N,2,0, 21-1-0,177.8,155 lbs.,177.8,Switch,1991-10-27, 21-11-0,182.88,155 lbs.,190.5,Switch,1990-02-13,3.0,2.0,0.6666666666666666,13.0,4.0,0.3076923076923077,14.0,13.0,0.9285714285714286,28.0,19.0,0.6785714285714286,1.0,1.0,1.0,0.0,0.0,0.0,-5.079999999999984,-12.699999999999989,30,32,0.6923076923076923,0.33333333333333337,1.0,0.0,0.5584188870477041,0.4866642834736312,0.5294444444444444,0.12194211017740428,0.6495647865036516,0.5592436599805053,0.9416666666666667,0.8939093586152409
2021-10-30,"Abu Dhabi, Abu Dhabi, United Arab Emirates    ",Alexander Volkov,Marcin Tybura,W,Heavyweight,N,0,0, 34-9-0,200.66,250 lbs.,203.2,Orthodox,1988-10-24, 22-7-0,190.5,249 lbs.,198.12,Orthodox,1985-11-09,139.0,75.0,0.539568345323741,139.0,58.0,0.4172661870503597,153.0,89.0,0.5816993464052288,157.0,73.0,0.46496815286624205,0.0,0.0,0.0,16.0,0.0,0.0,10.159999999999997,5.079999999999984,33,36,0.5827338129496402,0.460431654676259,1.0,1.0,0.5656216485822114,0.5235627765621894,0.35,0.391156462585034,0.5361354374571317,0.5409440362008267,0.8856666666666667,0.9346011131725417
