date,location,red_fighter,blue_fighter,winner,weight_class,title_fight,red_knockdowns,blue_knockdowns,red_sig_strike,blue_sig_strike,red_sig_strike_percent,blue_sig_strike_percent,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percent,blue_takedown_percent,red_submission_attempts,blue_submission_attempts,red_reversals,blue_reversals,red_control_time,blue_control_time,red_Record,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,red_SLpM,red_Str_Acc,red_SApM,red_Str_Def,red_TD_Avg,red_TD_Acc,red_TD_Def,red_Sub_Avg,blue_Record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,blue_SLpM,blue_Str_Acc,blue_SApM,blue_Str_Def,blue_TD_Avg,blue_TD_Acc,blue_TD_Def,blue_Sub_Avg
"November 26, 2016","Melbourne, Victoria, Australia    ",Daniel Kelly,Chris Camozzi,W,Middleweight,N,0,0,39 of 102,56 of 115,38%,48%,84 of 157,66 of 127,4 of 4,0 of 0,100%,---,0,0,0,0,6:44,0:00, 13-4-0,"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977",3.62,38%,4.64,61%,1.86,34%,78%,0.3, 24-13-0,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1986",3.57,44%,2.96,56%,0.27,19%,57%,0.5
"November 26, 2016","Melbourne, Victoria, Australia    ",Damien Brown,Jon Tuck,W,Lightweight,N,0,1,34 of 130,39 of 87,26%,44%,40 of 136,73 of 122,0 of 1,0 of 1,0%,0%,1,0,0,0,0:00,3:47, 17-12-0,"5' 10""",155 lbs.,"68""",Orthodox,"Dec 25, 1984",3.66,38%,4.86,50%,0.68,27%,53%,0.7, 10-5-0,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 28, 1984",3.00,40%,3.74,60%,0.42,33%,50%,1.0
"November 26, 2016","Melbourne, Victoria, Australia    ",Richard Walsh,Jonathan Meunier,L,Welterweight,N,0,0,18 of 88,74 of 155,20%,47%,33 of 106,105 of 186,2 of 8,1 of 3,25%,33%,1,0,0,0,2:53,1:20, 9-5-0,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 01, 1988",3.84,46%,2.72,58%,1.55,40%,66%,0.2, 8-1-0,"6' 3""",170 lbs.,--,Switch,"Aug 04, 1987",3.47,50%,1.43,69%,0.58,33%,58%,0.0
"November 26, 2016","Melbourne, Victoria, Australia    ",Ben Nguyen,Geane Herrera,W,Flyweight,N,1,0,105 of 255,22 of 107,41%,20%,112 of 262,22 of 107,0 of 1,1 of 5,0%,20%,0,0,0,0,0:02,0:38, 16-8-0,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988",3.51,40%,3.01,59%,0.25,33%,63%,1.0, 9-3-0,"5' 5""",125 lbs.,"66""",Orthodox,"May 27, 1990",1.51,31%,5.07,52%,0.83,37%,38%,0.6
"November 26, 2016","Melbourne, Victoria, Australia    ",Dan Hooker,Jason Knight,L,Featherweight,N,0,0,47 of 100,59 of 185,47%,31%,58 of 111,80 of 208,0 of 0,4 of 13,---,30%,0,4,1,0,0:43,4:53, 21-11-0,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",4.90,47%,4.61,52%,0.90,36%,78%,0.2, 20-5-0,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 14, 1992",2.95,33%,3.02,51%,1.31,31%,47%,1.7
"November 26, 2016","Melbourne, Victoria, Australia    ",Marlon Vera,Guangyou Ning,W,Featherweight,N,1,0,36 of 72,46 of 107,50%,42%,46 of 87,66 of 137,1 of 3,0 of 1,33%,0%,2,0,0,0,2:43,2:48, 18-7-1,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992",4.08,51%,4.27,50%,0.82,42%,69%,1.3, 5-4-1,"5' 4""",145 lbs.,"64""",Southpaw,"Dec 15, 1981",2.66,41%,1.91,61%,1.09,50%,62%,0.3
"November 26, 2016","Melbourne, Victoria, Australia    ",Yao Zhikui,Jenel Lausa,L,Flyweight,N,0,2,29 of 124,56 of 109,23%,51%,33 of 128,70 of 126,1 of 6,1 of 1,16%,100%,0,1,0,0,1:55,0:51, 2-4-0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 07, 1991",1.44,21%,2.82,48%,0.66,16%,58%,0.0, 7-5-0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988",1.44,42%,3.53,53%,0.55,66%,51%,0.8
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Ryan Bader,Rogerio Nogueira,W,Light Heavyweight,N,0,0,86 of 116,3 of 12,74%,25%,129 of 164,12 of 23,5 of 5,0 of 0,100%,---,1,0,0,0,11:20,0:00, 23-5-0,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",2.82,43%,1.39,71%,3.37,44%,80%,0.4, 23-10-0,"6' 2""",205 lbs.,"75""",Southpaw,"Jun 02, 1976",2.43,35%,2.34,59%,0.64,44%,62%,0.8
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Thomas Almeida,Albert Morales,W,Bantamweight,N,1,0,41 of 79,18 of 74,51%,24%,42 of 80,18 of 74,0 of 0,1 of 2,---,50%,0,0,0,0,0:06,0:36, 22-5-0,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",4.84,43%,4.93,61%,0.17,14%,75%,0.0, 7-4-1,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991",3.81,35%,3.96,56%,0.91,35%,70%,0.2
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Claudia Gadelha,Cortney Casey,W,Women's Strawweight,N,0,0,34 of 80,22 of 68,42%,32%,43 of 92,46 of 95,6 of 6,0 of 1,100%,0%,1,0,0,0,6:25,0:19, 18-5-0,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7, 10-9-0,"5' 7""",125 lbs.,"67""",Orthodox,"May 05, 1987",4.46,39%,4.03,55%,0.26,27%,38%,0.5
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Thales Leites,Krzysztof Jotko,L,Middleweight,N,0,0,4 of 14,42 of 83,28%,50%,4 of 14,93 of 143,1 of 8,1 of 2,12%,50%,1,0,0,1,2:49,8:03, 28-9-0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981",2.13,40%,2.99,52%,2.10,27%,30%,1.1, 23-5-0,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989",2.92,41%,2.24,57%,1.15,34%,83%,0.1
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Warlley Alves,Kamaru Usman,L,Welterweight,N,0,0,25 of 73,71 of 150,34%,47%,26 of 74,129 of 216,0 of 0,1 of 2,---,50%,1,1,0,0,0:00,5:22, 15-5-0,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",3.07,48%,3.63,51%,1.42,52%,78%,1.1, 20-1-0,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987",4.66,52%,2.59,58%,3.00,49%,100%,0.1
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Sergio Moraes,Zak Ottow,W,Welterweight,N,0,0,35 of 91,44 of 141,38%,31%,53 of 109,50 of 147,1 of 3,0 of 1,33%,0%,0,0,0,0,4:04,0:00, 14-6-1,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2.42,42%,3.73,59%,1.20,38%,75%,0.4, 17-7-0,"5' 11""",170 lbs.,"72""",Orthodox,"Dec 22, 1986",2.63,36%,2.73,58%,0.97,29%,57%,0.4
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Cezar Ferreira,Jack Hermansson,W,Middleweight,N,0,0,10 of 30,14 of 49,33%,28%,10 of 30,14 of 49,1 of 1,0 of 0,100%,---,1,0,0,0,1:21,0:02, 13-8-0,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985",1.90,42%,2.44,53%,2.69,53%,84%,0.5, 22-6-0,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",4.86,45%,3.36,54%,2.09,36%,75%,0.6
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Marcos Rogerio de Lima,Gadzhimurad Antigulov,L,Light Heavyweight,N,0,0,2 of 6,0 of 4,33%,0%,11 of 15,0 of 4,0 of 0,1 of 1,---,100%,0,1,1,0,0:21,0:29, 19-8-1,"6' 1""",253 lbs.,"75""",Orthodox,"Jun 25, 1985",3.39,54%,2.12,54%,1.14,66%,47%,0.6, 20-8-0,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Johnny Eduardo,Manvel Gamburyan,W,Bantamweight,N,1,0,26 of 54,11 of 24,48%,45%,28 of 56,13 of 26,0 of 0,0 of 3,---,0%,0,0,0,0,0:31,0:00, 28-13-0,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978",2.95,39%,3.22,63%,0.22,20%,58%,0.4, 15-10-0 (1 NC),"5' 5""",135 lbs.,"67""",Orthodox,"May 08, 1981",2.13,41%,2.83,55%,3.26,34%,69%,0.7
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Luis Henrique,Christian Colombo,W,Heavyweight,N,0,0,31 of 52,3 of 14,59%,21%,57 of 87,32 of 43,6 of 6,0 of 0,100%,---,2,0,0,0,9:14,0:00, 10-5-0 (1 NC),"6' 2""",243 lbs.,"74""",Orthodox,"Aug 21, 1993",1.81,43%,2.22,47%,3.09,36%,50%,1.0, 8-3-1,"6' 5""",265 lbs.,--,Orthodox,"Jul 01, 1980",2.76,44%,4.02,42%,0.00,0%,33%,0.0
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Pedro Munhoz,Justin Scoggins,W,Bantamweight,N,0,0,28 of 79,44 of 102,35%,43%,28 of 79,44 of 102,0 of 4,1 of 1,0%,100%,1,0,0,0,0:08,0:07, 19-6-0 (1 NC),"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",5.55,43%,6.02,57%,0.62,21%,80%,0.7, 11-5-0,"5' 7""",125 lbs.,"66""",Southpaw,"May 02, 1992",3.56,51%,2.16,55%,3.42,63%,82%,0.5
"November 19, 2016","Sao Paulo, Sao Paulo, Brazil    ",Francimar Barroso,Darren Stewart,NC,Light Heavyweight,N,0,0,0 of 1,7 of 10,0%,70%,8 of 10,21 of 25,0 of 0,1 of 2,---,50%,0,0,0,0,0:00,1:15, 19-7-0 (1 NC),"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980",2.77,52%,3.07,59%,2.22,24%,83%,0.0, 12-8-0 (2 NC),"6' 0""",205 lbs.,"74""",Orthodox,"Dec 30, 1990",3.05,45%,3.29,48%,1.75,45%,67%,0.1
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Gegard Mousasi,Uriah Hall,W,Middleweight,N,0,0,20 of 40,12 of 25,50%,48%,20 of 40,12 of 25,1 of 2,0 of 0,50%,---,0,0,0,0,0:44,0:00, 42-6-2,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 01, 1985",3.75,50%,1.21,68%,1.59,60%,59%,1.1, 18-10-0,"6' 0""",185 lbs.,"79""",Orthodox,"Jul 31, 1984",3.47,49%,4.07,54%,0.58,38%,65%,0.2
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Ross Pearson,Stevie Ray,L,Lightweight,N,0,0,38 of 92,49 of 117,41%,41%,48 of 104,50 of 119,0 of 0,1 of 3,---,33%,0,0,0,0,0:08,3:12, 20-16-0 (1 NC),"5' 8""",155 lbs.,"69""",Orthodox,"Sep 26, 1984",3.68,40%,4.09,62%,0.74,35%,75%,0.0, 23-9-0,"5' 10""",155 lbs.,"70""",Southpaw,"Mar 25, 1990",3.73,44%,2.93,54%,0.75,46%,55%,0.6
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Timothy Johnson,Alexander Volkov,L,Heavyweight,N,1,0,43 of 93,45 of 84,46%,53%,62 of 116,91 of 141,1 of 8,1 of 2,12%,50%,0,0,0,0,4:33,3:45, 12-4-0,"6' 3""",265 lbs.,"77""",Southpaw,"Mar 13, 1985",3.43,45%,3.08,44%,1.09,24%,69%,0.0, 34-9-0,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",4.86,57%,2.95,54%,0.53,70%,73%,0.1
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Artem Lobov,Teruto Ishihara,W,Featherweight,N,0,1,82 of 160,48 of 119,51%,40%,86 of 165,55 of 131,1 of 1,0 of 4,100%,0%,0,0,0,0,0:49,1:09, 13-15-1 (1 NC),"5' 9""",145 lbs.,"65""",Southpaw,"Aug 11, 1986",3.52,41%,4.82,50%,0.39,25%,52%,0.0, 10-7-2,"5' 7""",135 lbs.,"69""",Southpaw,"Jul 23, 1991",3.26,44%,3.63,53%,0.50,16%,30%,0.0
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Magnus Cedenblad,Jack Marshman,L,Middleweight,N,0,2,36 of 83,42 of 91,43%,46%,78 of 136,50 of 107,3 of 3,0 of 0,100%,---,0,0,0,0,4:30,0:13, 14-5-0,"6' 5""",185 lbs.,"79""",Orthodox,"Apr 10, 1982",2.38,51%,3.02,40%,2.87,64%,66%,1.0, 23-10-0,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 19, 1989",2.74,25%,4.19,56%,0.00,0%,20%,0.0
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Kyoji Horiguchi,Ali Bagautinov,W,Flyweight,N,0,0,55 of 92,36 of 84,59%,42%,115 of 161,48 of 97,4 of 9,2 of 6,44%,33%,0,0,0,0,4:32,2:49, 19-2-0,"5' 5""",125 lbs.,"66""",Orthodox,"Oct 12, 1990",3.60,45%,2.45,62%,2.00,44%,55%,0.0, 15-6-0,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",2.85,42%,3.09,52%,2.51,36%,65%,0.3
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Kevin Lee,Magomed Mustafaev,W,Lightweight,N,0,0,20 of 28,20 of 34,71%,58%,46 of 54,34 of 49,7 of 9,0 of 2,77%,0%,2,1,0,0,6:37,1:01, 18-7-0,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",3.89,42%,3.56,50%,3.19,43%,75%,0.8, 14-4-0,"5' 8""",155 lbs.,"71""",Orthodox,"Aug 02, 1988",2.59,58%,2.68,41%,3.31,50%,23%,0.4
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Anna Elmose,Amanda Cooper,L,Women's Strawweight,N,1,0,63 of 129,69 of 172,48%,40%,73 of 139,103 of 213,0 of 0,2 of 3,---,66%,0,1,0,0,2:14,3:03, 3-2-0,"5' 3""",115 lbs.,--,Orthodox,"Oct 06, 1984",3.68,49%,4.64,56%,0.00,0%,33%,0.0, 3-5-0,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",3.55,44%,3.20,51%,1.53,38%,28%,1.8
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Justin Ledet,Mark Godbeer,W,Heavyweight,N,0,0,3 of 11,5 of 11,27%,45%,8 of 17,7 of 13,1 of 1,0 of 1,100%,0%,1,0,0,0,1:15,0:10, 9-4-0 (1 NC),"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",3.35,39%,4.82,49%,0.23,50%,42%,0.2, 13-4-0,"6' 4""",240 lbs.,"77""",Orthodox,"Nov 22, 1983",3.97,53%,3.30,54%,0.00,0%,28%,0.0
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Zak Cummings,Alexander Yakovlev,W,Welterweight,N,0,0,24 of 80,18 of 41,30%,43%,38 of 94,18 of 41,0 of 0,1 of 2,---,50%,1,0,0,0,1:10,0:02, 24-7-0,"6' 0""",185 lbs.,"75""",Southpaw,"Aug 02, 1984",2.58,32%,2.83,55%,0.68,28%,65%,0.7, 24-10-1,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984",1.74,47%,2.41,58%,1.66,35%,72%,0.1
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Marion Reneau,Milana Dudieva,W,Women's Bantamweight,N,0,0,48 of 136,17 of 47,35%,36%,72 of 170,36 of 68,1 of 1,2 of 4,100%,50%,1,0,0,0,4:21,2:29, 9-8-1,"5' 6""",135 lbs.,"68""",Orthodox,"Jun 20, 1977",3.20,41%,3.52,59%,0.62,63%,50%,0.8, 11-6-0,"5' 3""",135 lbs.,--,Orthodox,"Aug 04, 1989",0.87,31%,3.43,58%,2.34,45%,0%,0.0
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Brett Johns,Kwan Ho Kwak,W,Bantamweight,N,0,0,49 of 80,53 of 128,61%,41%,127 of 171,59 of 134,11 of 15,0 of 0,73%,---,0,0,0,0,9:56,0:09, 17-2-0,"5' 7""",135 lbs.,"71""",Orthodox,"Feb 21, 1992",2.86,49%,3.84,53%,4.92,49%,58%,1.0, 9-2-0,"5' 5""",135 lbs.,--,Switch,"Jun 18, 1989",3.29,41%,3.45,47%,0.78,100%,26%,0.0
"November 19, 2016","Belfast, Northern Ireland, United Kingdom    ",Charlie Ward,Abdul Razak Alhassan,L,Welterweight,N,0,3,2 of 14,12 of 22,14%,54%,2 of 15,12 of 22,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:07, 3-3-0,"5' 11""",170 lbs.,--,Orthodox,"Dec 17, 1980",1.64,19%,7.21,53%,0.00,0%,0%,0.0, 11-4-0,"5' 10""",185 lbs.,"73""",Orthodox,"Aug 11, 1985",3.71,48%,4.23,53%,0.53,28%,55%,0.0
"November 12, 2016","New York City, New York, USA    ",Eddie Alvarez,Conor McGregor,L,UFC Lightweight,Y,0,3,9 of 41,32 of 84,21%,38%,12 of 46,40 of 93,0 of 3,0 of 0,0%,---,0,0,0,0,0:57,0:53, 29-6-0 (1 NC),"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5, 22-6-0,"5' 9""",155 lbs.,"74""",Southpaw,"Jul 14, 1988",5.32,49%,4.66,54%,0.67,55%,66%,0.1
"November 12, 2016","New York City, New York, USA    ",Tyron Woodley,Stephen Thompson,D,UFC Welterweight,Y,1,0,61 of 141,43 of 161,43%,26%,113 of 200,60 of 181,1 of 1,0 of 1,100%,0%,2,0,0,0,4:50,2:28, 19-7-1,"5' 9""",170 lbs.,"74""",Orthodox,"Apr 07, 1982",2.36,48%,2.76,54%,1.06,40%,87%,0.4, 16-5-1,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",4.06,43%,2.75,58%,0.30,45%,73%,0.0
"November 12, 2016","New York City, New York, USA    ",Joanna Jedrzejczyk,Karolina Kowalkiewicz,W,UFC Women's Strawweight,Y,0,0,171 of 360,50 of 220,47%,22%,181 of 371,63 of 234,1 of 1,0 of 1,100%,0%,0,0,0,0,3:29,3:34, 16-4-0,"5' 6""",115 lbs.,"65""",Orthodox,"Aug 18, 1987",6.30,48%,3.08,64%,0.28,62%,81%,0.1, 12-7-0,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",5.16,39%,5.56,56%,0.19,22%,74%,0.1
"November 12, 2016","New York City, New York, USA    ",Chris Weidman,Yoel Romero,L,Middleweight,N,0,1,12 of 47,18 of 40,25%,45%,16 of 54,27 of 51,1 of 8,2 of 3,12%,66%,0,0,0,0,0:25,1:53, 15-6-0,"6' 2""",185 lbs.,"78""",Orthodox,"Jun 17, 1984",3.03,43%,3.14,52%,3.92,47%,65%,0.9, 13-5-0,"6' 0""",185 lbs.,"73""",Southpaw,"Apr 30, 1977",3.44,49%,3.05,60%,1.57,30%,78%,0.0
"November 12, 2016","New York City, New York, USA    ",Miesha Tate,Raquel Pennington,L,Women's Bantamweight,N,0,0,21 of 65,43 of 77,32%,55%,48 of 93,111 of 156,1 of 5,1 of 1,20%,100%,0,3,0,0,4:27,6:47, 19-8-0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 18, 1986",2.41,43%,2.87,52%,1.99,31%,53%,1.4, 12-9-0,"5' 7""",135 lbs.,"67""",Orthodox,"Sep 05, 1988",3.59,49%,3.21,62%,1.11,28%,65%,0.7
"November 12, 2016","New York City, New York, USA    ",Frankie Edgar,Jeremy Stephens,W,Featherweight,N,0,1,40 of 76,33 of 146,52%,22%,45 of 81,41 of 154,5 of 14,0 of 0,35%,---,2,1,1,0,4:49,0:03, 23-10-1,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.79,40%,2.81,66%,2.30,31%,65%,0.3, 28-19-0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"May 25, 1986",3.17,40%,3.05,58%,1.16,38%,65%,0.4
"November 12, 2016","New York City, New York, USA    ",Khabib Nurmagomedov,Michael Johnson,W,Lightweight,N,0,0,94 of 142,19 of 77,66%,24%,140 of 190,20 of 78,2 of 6,0 of 0,33%,---,1,1,0,0,8:44,0:00, 29-0-0,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 20, 1988",4.10,48%,1.75,65%,5.32,48%,84%,0.8, 20-17-0,"5' 10""",155 lbs.,"73""",Southpaw,"Jun 04, 1986",4.21,38%,3.82,58%,0.49,45%,77%,0.1
"November 12, 2016","New York City, New York, USA    ",Rafael Natal,Tim Boetsch,L,Middleweight,N,0,1,5 of 18,14 of 25,27%,56%,5 of 18,14 of 25,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:04, 21-9-1,"6' 0""",185 lbs.,"77""",Orthodox,"Dec 25, 1982",3.10,47%,2.48,57%,2.55,34%,77%,0.5, 21-13-0,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",2.93,50%,2.90,57%,1.45,34%,59%,0.8
"November 12, 2016","New York City, New York, USA    ",Vicente Luque,Belal Muhammad,W,Welterweight,N,1,0,9 of 21,3 of 10,42%,30%,9 of 21,3 of 10,0 of 0,0 of 0,---,---,0,0,0,0,0:03,0:00, 21-7-1,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",5.65,54%,5.67,52%,0.64,50%,64%,1.0, 19-3-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988",4.61,42%,3.80,60%,1.80,28%,91%,0.2
"November 12, 2016","New York City, New York, USA    ",Jim Miller,Thiago Alves,W,Catch Weight,N,0,0,28 of 85,36 of 112,32%,32%,45 of 105,50 of 127,4 of 5,0 of 0,80%,---,1,0,0,0,6:24,0:33, 33-16-0 (1 NC),"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.70,41%,2.92,59%,1.64,43%,47%,1.8, 23-15-0,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3
"November 12, 2016","New York City, New York, USA    ",Liz Carmouche,Katlyn Chookagian,W,Women's Bantamweight,N,0,1,27 of 64,22 of 115,42%,19%,49 of 88,64 of 160,4 of 7,0 of 0,57%,---,0,0,0,0,7:36,0:10, 13-7-0,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984",2.78,54%,2.51,61%,2.57,51%,65%,0.3, 16-4-0,"5' 9""",125 lbs.,"68""",Orthodox,"Dec 28, 1988",4.57,35%,4.37,62%,0.25,15%,52%,0.4
"November 05, 2016","Mexico City, Distrito Federal, Mexico    ",Rafael Dos Anjos,Tony Ferguson,L,Lightweight,N,0,0,121 of 276,199 of 401,43%,49%,126 of 281,200 of 402,0 of 5,0 of 2,0%,0%,0,0,0,0,0:30,0:00, 30-13-0,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984",3.49,46%,3.22,61%,1.93,37%,58%,0.6, 26-6-0,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984",5.15,45%,3.78,59%,0.42,42%,67%,1.1
"November 05, 2016","Mexico City, Distrito Federal, Mexico    ",Diego Sanchez,Marcin Held,W,Lightweight,N,0,0,46 of 81,30 of 82,56%,36%,69 of 108,57 of 112,0 of 1,0 of 2,0%,0%,0,1,0,0,9:15,0:18, 31-13-0,"5' 10""",170 lbs.,"72""",Southpaw,"Dec 31, 1981",2.69,37%,3.02,56%,1.51,24%,46%,0.8, 23-7-0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 18, 1992",1.41,34%,2.02,47%,2.46,46%,37%,1.3
"November 05, 2016","Mexico City, Distrito Federal, Mexico    ",Ricardo Lamas,Charles Oliveira,W,Featherweight,N,0,0,11 of 20,13 of 18,55%,72%,13 of 22,36 of 42,1 of 1,2 of 2,100%,100%,1,2,1,0,2:27,3:38, 20-8-0,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982",3.13,47%,2.87,57%,1.84,33%,46%,0.9, 31-8-0 (1 NC),"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",3.26,52%,3.01,53%,2.64,44%,57%,2.7
"November 05, 2016","Mexico City, Distrito Federal, Mexico    ",Martin Bravo,Claudio Puelles,W,Ultimate Fighter Latin America 3 Lightweight Tournament,Y,1,0,56 of 121,29 of 68,46%,42%,64 of 129,29 of 68,0 of 0,1 of 6,---,16%,0,0,0,0,0:02,0:34, 11-3-0,"5' 8""",145 lbs.,"71""",Southpaw,"Sep 21, 1993",7.66,39%,5.72,51%,2.60,35%,85%,0.0, 11-2-0,"5' 10""",155 lbs.,"72""",Southpaw,"Apr 21, 1996",1.76,47%,3.02,49%,3.35,47%,62%,0.9
"November 05, 2016","Mexico City, Distrito Federal, Mexico    ",Beneil Dariush,Rashid Magomedov,W,Lightweight,N,0,0,60 of 120,41 of 78,50%,52%,73 of 134,79 of 129,0 of 5,1 of 2,0%,50%,0,0,0,0,4:10,2:43, 21-4-1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.80,49%,2.58,58%,2.11,34%,81%,1.0, 20-2-0,"5' 9""",155 lbs.,"70""",Orthodox,"Nov 29, 1984",4.40,49%,3.05,54%,0.67,57%,89%,0.2
"November 05, 2016","Mexico City, Distrito Federal, Mexico    ",Alexa Grasso,Heather Clark,W,Women's Strawweight,N,0,0,65 of 134,40 of 87,48%,45%,120 of 200,74 of 127,1 of 2,0 of 4,50%,0%,0,0,0,0,3:21,2:18, 13-3-0,"5' 5""",125 lbs.,"66""",Orthodox,"Aug 09, 1993",4.96,43%,3.61,64%,0.28,40%,60%,0.6, 7-6-0,"5' 6""",115 lbs.,"64""",Orthodox,"Sep 19, 1980",3.69,49%,5.62,50%,0.33,4%,80%,0.3
"November 05, 2016","Mexico City, Distrito Federal, Mexico    ",Erik Perez,Felipe Arantes,W,Bantamweight,N,0,0,36 of 96,34 of 68,37%,50%,103 of 177,42 of 76,3 of 5,0 of 0,60%,---,0,2,1,1,7:06,1:56, 17-6-0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989",3.16,40%,2.09,66%,3.16,55%,69%,0.2, 18-10-1 (2 NC),"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7
"November 05, 2016","Mexico City, Distrito Federal, Mexico    ",Marco Beltran,Joe Soto,L,Catch Weight,N,0,0,3 of 8,2 of 2,37%,100%,3 of 9,2 of 2,0 of 0,1 of 1,---,100%,0,1,0,0,0:00,0:26, 8-6-0,"5' 8""",125 lbs.,"69""",Orthodox,"May 18, 1986",2.07,37%,1.93,63%,0.70,50%,46%,0.2, 18-7-0,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 22, 1987",3.36,41%,5.37,67%,0.85,21%,70%,1.9
