date,red_fighter,blue_fighter,winner,red_sig_str_percent,blue_sig_str_percent,red_sub_att,blue_sub_att,red_stance,blue_stance,red_total_str_percent,blue_total_str_percent,red_td_percent,blue_td_percent,height_diff,reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_td_defence_percent,blue_td_defence_percent,red_td_defence_average,blue_td_defence_average,red_td_average,blue_td_average,red_sig_str_average,blue_sig_str_average,red_total_str_average,blue_total_str_average,red_sig_strike_defence_average,blue_sig_strike_defence_average
2019-01-19,Gregor Gillespie,Yancy Medeiros,W,0.7183098591549296,0.0833333333333333,0,0,Orthodox,Orthodox,0.7684210526315789,0.0833333333333333,0.5454545454545454,0.0,-8.0,-10.159999999999997,32,31,0.92,0.29,1.0,0.4599999999999999,1.0,0.8416666666666667,0.44152046783625726,0.08333333333333333,0.5195093795093795,0.3637205384995208,0.6166897427728902,0.3757657692544228,0.5780000000000001,0.5499999999999999
2018-12-29,Cristiane Justino,Amanda Nunes,L,0.2,0.6190476190476191,0,0,Orthodox,Orthodox,0.2,0.6190476190476191,0.0,0.0,0.0,-2.539999999999992,33,31,0.39,0.8,1.0,1.0,0.9285714285714286,0.8072727272727274,0.2857142857142857,0.25757575757575757,0.5506625235582628,0.5765895854190842,0.5686227099201783,0.603688034435112,0.6242857142857143,0.6836363636363637
2019-03-02,Polyana Viana,Hannah Cifers,L,0.4425287356321839,0.432258064516129,0,0,Orthodox,Orthodox,0.5296610169491526,0.5,0.0,0.0,10.0,12.700000000000015,27,27,0.5700000000000001,0.56,1.0,1.0,0.5,0.8,0.35,0.0,0.5116279069767442,0.5942028985507246,0.6028571428571429,0.6818181818181818,0.49,0.3
2019-02-17,Ashlee Evans-Smith,Andrea Lee,L,0.2933333333333333,0.5311004784688995,0,0,Orthodox,Orthodox,0.308695652173913,0.5462962962962963,0.2,0.0,5.0,-5.079999999999984,32,30,0.47,0.71,1.0,0.8,0.7166666666666667,0.0,0.27499999999999997,0.6,0.4373455727440163,0.6021505376344086,0.4962267901742887,0.6641221374045801,0.5533333333333333,0.6799999999999999
2019-03-09,Alex Morono,Zak Ottow,W,0.4545454545454545,0.3225806451612903,1,0,Orthodox,Orthodox,0.4545454545454545,0.3225806451612903,0.0,1.0,0.0,0.0,29,32,0.6799999999999999,0.55,0.0,1.0,0.7028571428571428,0.59625,0.0,0.13541666666666666,0.3889173428032147,0.37221035124733665,0.44678995506942815,0.46431484961626135,0.6457142857142857,0.5875
2019-02-09,Jimmy Crute,Sam Alvey,W,0.4375,0.2142857142857142,0,0,Orthodox,Southpaw,0.4722222222222222,0.2142857142857142,0.0,0.0,0.0,-2.539999999999992,23,33,0.79,0.5700000000000001,1.0,1.0,0.5800000000000001,0.8876470588235295,1.0,0.058823529411764705,0.4473684210526316,0.49005540387282853,0.6533333333333333,0.5424251951164422,0.4599999999999999,0.53
2019-02-02,Charles Oliveira,David Teymur,W,0.4827586206896552,0.490566037735849,1,0,Orthodox,Southpaw,0.5081967213114754,0.5254237288135594,1.0,0.0,3.0,2.539999999999992,29,30,0.51,0.52,1.0,0.0,0.7440909090909091,0.744,0.45514725173816084,0.3238095238095238,0.48739133271317486,0.4491467095704539,0.5740993366755072,0.4694318141544631,0.5672727272727273,0.6
2018-12-15,Edson Barboza,Dan Hooker,W,0.5575221238938053,0.3970588235294117,0,0,Orthodox,Switch,0.5594713656387665,0.4743589743589743,0.0,0.0,-3.0,0.0,33,29,0.61,0.4499999999999999,1.0,1.0,0.7538095238095238,0.835,0.1746031746031746,0.09999999999999999,0.4403483121758895,0.48033574429534587,0.4461043780810721,0.5525728077625285,0.6119047619047618,0.596
2019-01-19,Joseph Benavidez,Dustin Ortiz,W,0.42,0.5632183908045977,0,0,Southpaw,Orthodox,0.5138888888888888,0.6838235294117647,0.5833333333333334,0.375,-2.0,0.0,34,30,0.4399999999999999,0.5800000000000001,0.63,0.42,0.8033333333333333,0.6421428571428571,0.2298319327731092,0.278837432408861,0.3579382016747947,0.43690531701679325,0.39669993982150614,0.5704955160632513,0.5866666666666667,0.5878571428571429
2018-12-29,Carlos Condit,Michael Chiesa,L,0.2083333333333333,0.4545454545454545,1,1,Orthodox,Southpaw,0.5128205128205128,0.4848484848484848,0.0,0.8,3.0,0.0,35,31,0.55,0.8,0.1999999999999999,1.0,0.38799999999999996,0.8009090909090909,0.19444444444444445,0.3976190476190476,0.3835127130249407,0.3937079820970709,0.5201053720177665,0.49871593302410083,0.5633333333333334,0.5281818181818182
2019-02-23,Rustam Khabilov,Diego Ferreira,L,0.2925170068027211,0.2922535211267605,0,1,Orthodox,Orthodox,0.2953020134228188,0.310580204778157,0.25,0.0,-2.0,-2.539999999999992,32,34,0.71,0.71,1.0,0.75,0.7809090909090909,0.8285714285714285,0.4649449035812672,0.21428571428571427,0.3613394308788962,0.4431030306859586,0.453334036622074,0.4803693735811788,0.6972727272727273,0.5271428571428571
2018-12-08,Valentina Shevchenko,Joanna Jedrzejczyk,W,0.4659685863874345,0.312,0,0,Southpaw,Orthodox,0.5291479820627802,0.4133333333333333,0.3571428571428571,0.0,-3.0,2.5400000000000205,31,31,0.69,0.54,1.0,0.65,0.8283333333333333,0.8291666666666666,0.6455026455026455,0.16666666666666666,0.5986668854795766,0.4399834065338206,0.695728111419209,0.4631184834936852,0.5416666666666666,0.6641666666666667
2019-02-17,Scott Holtzman,Nik Lentz,L,0.4426229508196721,0.5819672131147541,0,1,Orthodox,Orthodox,0.5477707006369427,0.6076923076923076,0.0,0.2631578947368421,2.0,2.539999999999992,35,35,0.42,0.56,0.74,1.0,0.6257142857142857,0.6157142857142857,0.5885281385281386,0.3196584616752684,0.5380409246568629,0.5275955328028994,0.6375123238318424,0.6392108632014385,0.5771428571428572,0.47619047619047616
2019-03-09,Alex White,Dan Moret,W,0.5975609756097561,0.4772727272727273,3,0,Southpaw,Southpaw,0.6730769230769231,0.5208333333333334,0.6666666666666666,0.1111111111111111,0.0,-5.0800000000000125,30,32,0.53,0.41,0.89,0.3399999999999999,0.725,0.0,0.22023809523809523,0.0,0.4247963872942016,0.3448275862068966,0.48006367892355367,0.3448275862068966,0.58875,0.53
2019-02-09,Devonte Smith,Dong Hyun Ma,W,0.4418604651162791,0.1111111111111111,0,0,Orthodox,Orthodox,0.4418604651162791,0.1111111111111111,0.0,0.0,-5.0,15.23999999999998,26,30,0.89,0.56,1.0,1.0,1.0,0.8,0.0,0.3333333333333333,0.6842105263157895,0.5235718492134587,0.6842105263157895,0.6114461396593021,0.43,0.45599999999999996
2018-12-01,Junior Dos Santos,Tai Tuivasa,W,0.4,0.3809523809523809,0,0,Orthodox,Southpaw,0.4805194805194805,0.3478260869565217,0.0,0.0,5.0,5.0800000000000125,35,26,0.62,0.6,1.0,1.0,0.884736842105263,1.0,0.18421052631578946,0.0,0.5158895018101329,0.6020697167755992,0.5340020867152853,0.6037037037037037,0.5684210526315789,0.6033333333333334
2018-12-15,Rob Font,Sergio Pettis,W,0.4493927125506073,0.3837837837837838,1,0,Orthodox,Orthodox,0.4627450980392157,0.4271844660194174,0.5,0.5,5.0,5.0800000000000125,31,25,0.62,0.56,0.5,0.5,0.6111111111111112,0.5876923076923076,0.22592592592592592,0.25256410256410255,0.4418029914607166,0.3740872925438482,0.4515745518396172,0.43615931926572976,0.6488888888888888,0.6515384615384616
2019-02-02,Johnny Walker,Justin Ledet,W,0.875,0.0,0,0,Orthodox,Orthodox,0.875,0.0,0.0,0.0,5.0,5.0800000000000125,27,30,1.0,0.13,1.0,1.0,1.0,0.8125,0.0,0.25,0.9090909090909092,0.3778210919515267,0.9090909090909092,0.4791189202953908,0.56,0.51
2019-02-23,Damir Ismagulov,Joel Alvarez,W,0.4266666666666667,0.2992125984251969,0,0,Orthodox,Orthodox,0.4266666666666667,0.2992125984251969,0.0,0.0,-12.0,-7.6200000000000045,28,26,0.71,0.5800000000000001,1.0,1.0,1.0,1.0112362050769224,0.4545454545454545,0.0,0.6181818181818182,0.30811611081330315,0.7518248175182481,,0.6799999999999999,0.590225608196049
2018-12-08,Alex Oliveira,Gunnar Nelson,L,0.7346938775510204,1.0,0,1,Orthodox,Switch,0.7536231884057971,1.0,0.0,0.4,0.0,10.159999999999997,31,30,0.0,0.27,0.6,1.0,0.6142857142857142,0.8863636363636364,0.2969967532467533,0.5681818181818182,0.5310672009793251,0.6436195306628612,0.59048336981722,0.7150587983607819,0.38785714285714284,0.5154545454545455
2019-01-19,Paige VanZant,Rachael Ostovich,W,0.6296296296296297,0.7142857142857143,2,0,Orthodox,Orthodox,0.6785714285714286,0.7222222222222222,0.0,1.0,3.0,7.6200000000000045,25,28,0.29,0.38,0.0,1.0,0.5057142857142857,1.0,0.18979591836734694,0.5,0.4751047611506607,0.3237179487179487,0.6144091057671162,0.39308176100628933,0.42428571428571427,0.7150000000000001
2018-12-29,Ilir Latifi,Corey Anderson,L,0.4230769230769231,0.3305785123966942,0,0,Orthodox,Orthodox,0.430379746835443,0.3543307086614173,0.0,0.0,-12.0,-15.23999999999998,36,29,0.6699999999999999,0.5800000000000001,1.0,1.0,1.0,0.8461538461538461,0.3383333333333333,0.4907661164746185,0.4487376954476615,0.47775459373713386,0.48939524170067006,0.5430289347138892,0.632,0.5992307692307692
