date,location,weight_class,title_bout,winner,red_Fighter,blue_Fighter,red_KD,blue_KD,red_Sig. str. %,blue_Sig. str. %,red_Td %,blue_Td %,red_Sub. att,blue_Sub. att,red_Rev.,blue_Rev.,red_Ctrl,blue_Ctrl,red_Height,red_Weight,red_Reach,red_STANCE,red_DOB,red_SLpM,red_Str. Acc.,red_SApM,red_Str. Def,red_TD Avg.,red_TD Acc.,red_TD Def.,red_Sub. Avg.,red_record,blue_Height,blue_Weight,blue_Reach,blue_STANCE,blue_DOB,blue_SLpM,blue_Str. Acc.,blue_SApM,blue_Str. Def,blue_TD Avg.,blue_TD Acc.,blue_TD Def.,blue_Sub. Avg.,blue_record,red_Sig. str._attempted,red_Sig. str._landed,red_Sig. str._percent,blue_Sig. str._attempted,blue_Sig. str._landed,blue_Sig. str._percent,red_Total str._attempted,red_Total str._landed,red_Total str._percent,blue_Total str._attempted,blue_Total str._landed,blue_Total str._percent,red_Td_attempted,red_Td_landed,red_Td_percent,blue_Td_attempted,blue_Td_landed,blue_Td_percent,Height_diff,Reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_takedowns_defence_percent,blue_takedowns_defence_percent
2023-05-13,"Charlotte, North Carolina, USA",Women's Flyweight,N,L,Ji Yeon Kim,Mandy Bohm,0,0,0.27,0.54,0.0,0.33,1,1,1,1,5:44,4:05,170.0,125 lbs.,182.88,Orthodox,1989-10-18,5.37,36%,5.41,56%,0.0,0%,50%,0.1, 9-7-2,170.0,125 lbs.,180.34,Orthodox,1989-07-30,2.51,45%,3.24,60%,0.72,18%,75%,0.7, 8-2-0 (1 NC),36.0,10.0,0.2777777777777778,31.0,17.0,0.5483870967741935,62.0,32.0,0.5161290322580645,51.0,25.0,0.49019607843137253,1.0,0.0,0.0,6.0,2.0,0.3333333333333333,0.0,2.539999999999992,34,34,0.45999999999999996,0.73,0.6699999999999999,1.0
2023-05-13,"Charlotte, North Carolina, USA",Welterweight,N,W,Bryan Battle,Gabe Green,1,0,0.33,0.5,0.0,0.0,0,0,0,0,0:03,0:00,185.0,170 lbs.,195.58,Orthodox,1994-09-21,4.47,54%,4.0,40%,0.79,20%,38%,0.4, 10-2-0,178.0,170 lbs.,185.42000000000002,Switch,1993-05-02,6.28,45%,6.95,47%,0.83,50%,53%,0.3, 11-5-0,9.0,3.0,0.3333333333333333,12.0,6.0,0.5,9.0,3.0,0.3333333333333333,12.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.159999999999997,29,30,0.5,0.6699999999999999,1.0,1.0
2023-05-13,"Charlotte, North Carolina, USA",Women's Bantamweight,N,L,Jessica-Rose Clark,Tainara Lisboa,0,0,0.43,0.5,0.14,0.5,0,1,0,0,7:36,2:09,165.0,135 lbs.,162.56,Orthodox,1987-11-28,3.73,51%,3.51,58%,1.66,42%,62%,0.3, 11-9-0 (1 NC),170.0,135 lbs.,170.18,Orthodox,1991-03-02,2.93,50%,1.81,56%,1.05,50%,85%,1.1, 6-2-0,60.0,26.0,0.43333333333333335,83.0,42.0,0.5060240963855421,66.0,28.0,0.42424242424242425,145.0,97.0,0.6689655172413793,7.0,1.0,0.14285714285714285,2.0,1.0,0.5,-5.0,-7.6200000000000045,35,32,0.5,0.5700000000000001,0.5,0.86
2023-05-06,"Newark, New Jersey, USA",UFC Bantamweight,Y,W,Aljamain Sterling,Henry Cejudo,0,0,0.64,0.56,0.26,0.37,0,0,0,0,4:00,5:06,170.0,135 lbs.,180.34,Orthodox,1989-07-31,4.78,52%,2.37,58%,2.02,24%,45%,0.8, 23-3-0,163.0,135 lbs.,162.56,Orthodox,1987-02-09,3.93,47%,3.15,60%,2.07,34%,83%,0.2, 16-3-0,210.0,135.0,0.6428571428571429,174.0,99.0,0.5689655172413793,261.0,186.0,0.7126436781609196,219.0,143.0,0.6529680365296804,15.0,4.0,0.26666666666666666,8.0,3.0,0.375,7.0,17.78,34,36,0.43999999999999995,0.36,0.63,0.74
2023-05-06,"Newark, New Jersey, USA",Welterweight,N,W,Belal Muhammad,Gilbert Burns,0,0,0.46,0.55,0.0,0.0,0,0,0,0,0:00,0:00,180.0,170 lbs.,182.88,Orthodox,1988-07-09,4.55,43%,3.64,57%,1.98,35%,93%,0.2, 23-3-0 (1 NC),178.0,170 lbs.,180.34,Orthodox,1986-07-20,3.36,48%,3.34,54%,1.95,35%,47%,0.5, 22-6-0,283.0,132.0,0.4664310954063604,147.0,81.0,0.5510204081632653,283.0,132.0,0.4664310954063604,147.0,81.0,0.5510204081632653,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.539999999999992,35,37,0.44999999999999996,0.54,1.0,1.0
2023-05-06,"Newark, New Jersey, USA",Women's Strawweight,N,L,Jessica Andrade,Yan Xiaonan,0,1,0.37,0.72,0.0,0.0,0,0,0,0,0:00,0:02,155.0,115 lbs.,157.48,Orthodox,1991-09-25,6.82,50%,5.4,54%,2.61,54%,73%,0.4, 24-11-0,165.0,115 lbs.,160.02,Orthodox,1989-06-16,5.55,44%,3.56,61%,0.86,66%,70%,0.0, 17-3-0 (1 NC),32.0,12.0,0.375,36.0,26.0,0.7222222222222222,32.0,12.0,0.375,36.0,26.0,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-2.5400000000000205,32,34,0.28,0.63,1.0,1.0
2023-05-06,"Newark, New Jersey, USA",Featherweight,N,W,Movsar Evloev,Diego Lopes,0,0,0.68,0.53,0.57,0.0,0,4,0,1,8:30,0:41,170.0,145 lbs.,182.88,Orthodox,1994-02-11,4.57,49%,2.74,61%,4.71,50%,71%,0.3, 17-0-0,180.0,145 lbs.,182.88,Orthodox,1994-12-30,2.26,52%,5.24,34%,0.0,0%,36%,4.2, 21-6-0,129.0,88.0,0.6821705426356589,69.0,37.0,0.5362318840579711,228.0,183.0,0.8026315789473685,82.0,48.0,0.5853658536585366,7.0,4.0,0.5714285714285714,0.0,0.0,0.0,-10.0,0.0,29,28,0.47,0.31999999999999995,1.0,0.43000000000000005
2023-05-06,"Newark, New Jersey, USA",Featherweight,N,L,Kron Gracie,Charles Jourdain,0,0,0.56,0.47,0.0,0.0,0,0,0,0,0:43,6:48,175.0,145 lbs.,177.8,Southpaw,1988-07-11,3.74,44%,6.82,53%,0.47,25%,0%,0.5, 5-2-0,175.0,145 lbs.,175.26,Switch,1995-11-27,5.78,49%,4.3,57%,0.1,16%,48%,0.4, 14-6-1,57.0,32.0,0.5614035087719298,168.0,80.0,0.47619047619047616,216.0,171.0,0.7916666666666666,266.0,175.0,0.6578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5400000000000205,35,27,0.53,0.43999999999999995,1.0,1.0
2023-05-06,"Newark, New Jersey, USA",Lightweight,N,L,Drew Dober,Matt Frevola,0,1,0.33,0.46,0.0,0.0,0,0,0,0,0:00,0:08,173.0,155 lbs.,177.8,Southpaw,1988-10-19,4.48,39%,4.5,51%,0.69,17%,56%,0.1, 26-12-0 (1 NC),175.0,155 lbs.,180.34,Orthodox,1990-06-11,3.72,41%,3.56,59%,2.26,36%,42%,0.9, 11-3-1,59.0,20.0,0.3389830508474576,75.0,35.0,0.4666666666666667,59.0,20.0,0.3389830508474576,79.0,39.0,0.4936708860759494,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-2.539999999999992,35,33,0.54,0.6699999999999999,1.0,1.0
2023-05-06,"Newark, New Jersey, USA",Light Heavyweight,N,W,Kennedy Nzechukwu,Devin Clark,0,0,0.76,0.62,0.0,0.25,1,0,0,0,3:42,1:04,196.0,205 lbs.,210.82,Southpaw,1992-06-13,4.89,46%,4.23,51%,0.69,50%,80%,0.3, 12-3-0,183.0,205 lbs.,190.5,Orthodox,1990-04-12,2.99,55%,2.95,43%,2.35,33%,60%,0.1, 14-8-0,81.0,62.0,0.7654320987654321,58.0,36.0,0.6206896551724138,98.0,79.0,0.8061224489795918,90.0,61.0,0.6777777777777778,1.0,0.0,0.0,4.0,1.0,0.25,13.0,20.319999999999993,31,33,0.38,0.24,0.75,1.0
